Class Index,Class Name,Question Title,Question Content
2,Entertainment & Music,"How can I make my home recordings sound fuller, more present?","I'm not completely unhappy with them. The levels and effects sound alright. But the final mix lacks.. a full and present quality. It is somewhere in the mixing - because my one by one WAV guitar parts have been used in commercial recording projects and sound fine, there."
2,Entertainment & Music,does any  body love sponge bob?,I do!!!
2,Entertainment & Music,When did television start in the UK for ordinary average people to see?,I  was reading biographies of Bruce Forsythe. One said he first appeared on television in 1942 and one said he appeared in 1939. I thought television was available for the masses in about 1952.
3,Science & Mathematics,when a pure race person and an bi-racial person have a child what percentage of each race will the child be?,one parent of the bi-racial person is four parts white and the bi-racial parent of the person  is 3 parts black and one part white.
1,Sports,How much value of the prize for The Champion of Carling Cup 2006?,"Carling Cup is Champion held in England, who followed by FA Member. The 2006 Final will met Manchester United and Wigan Athletic at Millennium Stadium, Cardiff at 26 February 2006. Since the cup sometimes categorized as secondary target for FA Clubs, we should ask, how much value of the prize for The Champion of Carling Cup 2006. Viva Manchester United !"
3,Science & Mathematics,how was the mariner 10 built?,What materials were used\nHow long it took to build\nWhere it was built
0,Health,i have tried to eat eat and exercise(lifting weight) but it wont work.my body metabolism is too high or what?,"i dont want to gain fat.i want to gain weight.any suggestions?\nnow,i just need to gain weight coz i already have the muscles.i need it..\nhelp me!!!"
3,Science & Mathematics,"If you waste five minutes of your life, what percent of your life are you really wasting?",Assuming the average life span is 70 years.
3,Science & Mathematics,who created the universe?,We know the point of view of religion! What modern science is saying about it?
0,Health,what does it mean when you're told it's a lotsa calcification in your breast?,"my sister has just had a mammagram come back bad she just went and had another type of mammagram done thats suppose to magnify the problem and now they've called her and said "" they weren't telling her it's cancer but there is a lot of calcifacation in her breast.can someone help me with this? Is this what they tell ya when they suspect cancer? she has to go to a surgeon now."
0,Health,Why do my joints hurt? I'm 35 and way too young for pain! lol I have dislocated each kneecap. What can I do?,"I just started taking glucosomine for my joints, but seriously almost all of my joints hurt. The worst ones are my jaw, elbows, knees, ankles and fingers. I will wake up in the middle of the night with extreme elbow pain. I had a baby 7 months ago, but had milder joint pain before- since the baby, the pain is more intense. I don't excersise like I should, and am still overweight from having the baby.  Is there something else I can do or eat?  Overall, I'm a healthy person. There is no swelling or heat on the joints themselves."
0,Health,can a person have more than 46 chromosomes?,what happens if the person has more than 46 chromosomes?
2,Entertainment & Music,How many DVD's have you collected? Are you addicted to collecting them?,I have close to 300 DVD's I have stopped buying them at the moment. There are ten more that I must get. I'm not addicted I just enjoy having any movie I like at arms length.
0,Health,Does smoking cigarettes slow down strep throat recovery?,"I have strep throat I think (it hurts to swallow anything food, liquid, saliva and sometimes even hurts to talk), If I want to smoke 1-3 cigarettes in one day during my sickness does it hurt or slow down the recovery?"
2,Entertainment & Music,Where are all the female fans?,"I'm a 25 year-old female fan and a fairly new listener (2 years now), and I am wondering if there are other fans like me out there who enjoy listening to the Stern Show as much as I do.  Is Howard's audience mostly men, or there a lot of female fans too?"
3,Science & Mathematics,what observatory experiment can a grade 9 perform?,"my partner and i were planning to make cheese out of fresh milk. we can't think of anything else coz my other classmates are trying to make vinegars, wines, soaps or perfumes. please tell me if you have better ideas."
0,Health,do you ever get food stuck in your tonsils?,becuase i do. my friend says she gets food stuck there too. and i'm wondering if it's normal or not? and is it normal for one of your tonsils to be bigger than the other? becuase my left tonsil is much bigger than my right tonsil.
1,Sports,what site would be better to learn soccer moves from?,i am going to go for my highschools soccer team and i need to learn some moves to help get me in shape.
3,Science & Mathematics,Why is the sky blue?,I have always wondered that.
1,Sports,would you allow your bf to hunt 4 months out of the year????,"whenever he gets the chance he will go, even on my bday..........Would you be mad????"
1,Sports,who plays tennis? and if so...?,what is the best tennis brand. i perfer prince for racquets and wilson for balls. does anyone have anything to say??
2,Entertainment & Music,Does anyone have footage of the '05 BET awards or Comedy awards?,I want to get Omarion's performance and Katt Williams stand up act.
0,Health,Has anyone experienced TIA's (mini-strokes) from being on birth control?,Last year I kept having strange vision problems.  Things would get all blurry for about 15 min. then I'd be fine.  I went through all kinds of tests and all they could come up with is that it was caused by my b.c. pills.  Stopped taking them in May '05 and only had 2 episodes since.
3,Science & Mathematics,Why do clouds often appear thin and wispy at dusk despite being fluffy all day?,I grew up on the ocean and have noticed this my entire life. I don't know if it happens elsewhere.
2,Entertainment & Music,"Song lyrics or composer to ""Elvis is alive and Playing Santa at Sears""...?","I heard a song on the radio last week and I'm almost sure the name of it was ""ELVIS IS ALIVE AND PLAYING SANTA AT SEARS"".. I wanted to know who sang or wrote the song and the lyrics .. I can't seem to find anything on the internet.. Can you help?"
2,Entertainment & Music,Which movie is gettin' the Oscar for the best one in this year?,"Just name it,and explain why do you think so."
0,Health,what is the best herbs to enhance labido?,"I've had a radical hysterectomy, and I don't what to use prescription drugs, I would like to use natural remedies"
0,Health,Why don't they make mercurochrome anymore?,"I know the concern about mercury poisoning, but it worked really good. It left an orange stain, but worked great. I now use the subsitute, which is curochome, but it doesn't work as good."
0,Health,lung cancer from smoking?,hello i would like to see pics on lung cancer for a school prodject for one of my children.
3,Science & Mathematics,what is pi?,what is pi to the hundred decimal
1,Sports,Who is the best Natural Horsemanship Trainer and why?,Pat Parelli?  Clinton Anderson?  Tom Dorrance?  Who is the bast and why do you thing so?
2,Entertainment & Music,I can't find any information on the Persian show called 'Poshta Konkoriha'.?,"Every Sunday I watch Pejvak TV. They have a show on there called 'Poshta Konkoriha' and I love it. I want to learn more about the people who play in this show but I couldnt Find anything on Yahoo, Wikipedia, and IMDB. I figured that at least Something would come up on Yahoo but I guess not, do you have any suggestions on where to look?"
1,Sports,Basketball trivia. What was Kareem Abdul Jabarr's REAL name?,first and last name.
0,Health,what is the easiest way to loose weight in just 60days?,please reply ....thankz a lot!!
3,Science & Mathematics,"Using the numbers 1, 3, 4, and 6, arrive at the number 24. no exponents or square roots.?","Use addition, subtraction, multiplication, and division."
1,Sports,who will win the super bowl?,who will win the super bowl?
1,Sports,who will win this friday? t-wolfs or spurs?,friday 6º janury 2006
3,Science & Mathematics,what is the answer to this polynomial : - 7 x + x^2y ? when x = -1 and y = 3 ?,Also whats is the answer to 4y^2 + 11x - 16?? ( polynomial when x= - 1 and y = 3 ?
1,Sports,Who is your favorite Player?,"Maria Sharapova, Sania Mirza, Roger Federer, Andre Aggasi, Sereena Williams, Venus Williams, Martina Hingis"
3,Science & Mathematics,where can i find a picture of a somatosensory homunculus?,I would like a relatively high resolution (at least 300 DPI) that I could have permission to use on a publication.
2,Entertainment & Music,Should the FCC implement V-Chips in car stereos?,"Maybe too filter out certain songs?  Remember, V-Chips are user-optional."
1,Sports,i have an 81 chevy camaro 383 stroker TH400 i need more power much more power.?,any help would be nice money not an object street legal not a consern.............
3,Science & Mathematics,What do you know about Romania?,Any detail is accepted...
3,Science & Mathematics,Is the flashlight beam traveling faster than the speed of light?,"Traveling in a car at the speed of light, you shine a flashlight toward a car in front of you also travelling at the speed of light. Does the flashlight beam reach the car ahead? If so, what speed is the flashlight beam traveling?"
1,Sports,"Who, as an athlete, has the highest career earnings? (endorsements included)?","Either retired, or in activity, it doesn't matter"
2,Entertainment & Music,"Do you like Floetry's new album, Flo'Ology?","I love it, it is sooooo good. They are so talented and I their uniqueness."
3,Science & Mathematics,A bad fairy promised to pay double a bunny's money each time the bunny ran across a field of the bunny prom...,"...ised to pay the fairy $20 after each crossing. The bunny agreed, but after three crossings there was $20 with which to pay the fairy, and bunny was left with no money. How much did the bunny have the start?\n\nNo jokes please. ^^;"
1,Sports,GIVE UR OPENION?,americans call football soccer and call htier game football while it is mostly played by hands.\n\n(i know that mostpeople here r americans but i just want to know the core point!!!!!!)
2,Entertainment & Music,"Did Gene Rayburn ever host ""The Hollywood Squares""?","Someone said to me Gene Rayburn hosted a version of ""The Hollywood Squares"" in the 1980's. I only remember John Davidson hosting an '80's version of ""Squares"". Not Rayburn."
2,Entertainment & Music,Riddle time?,"A man while looking at a photograph said, ""Brothers and sisters have I none. That man's father is my father's son."" Who was the person in the photograph?"
2,Entertainment & Music,"In "" Hotel Califonia "" song , there is a phrase that I don`t understand.That is "" colitas "".what does it mean?",On a dark desert high way\ncool wind in my hair\nwarm smell of (( colitas ))\nrising up throgh the air\nup ahead ...
2,Entertainment & Music,who sung this song ?,Hey Santa \nHey Santa (Santa) \nI wish with all my might \nHey Santa (Santa) \nBring my baby home tonight
1,Sports,what is Handicap 21.8 in golf?,Is this specific measurement of the clubs ??
3,Science & Mathematics,"Okay, so I might have the Touch of Death... plus the Midas Touch... Help?","Okay, so this one time I had the Midas Touch, but then I had the Touch of Death, but then at some later time I ended up with both.  I found that one out over at Billy's house... man, I'm never being invited there again.  That cat is never gonna be the same.  Anyway, I think I got it back, but I'm not sure how to test whether it's one or both.  Can anyone help?\n\nAlso, is this particularly contagious or is it just me killing things?"
0,Health,"I am 24 and I had 2 massive strokes last year, I am on coumadin but what is the percentage of another?",hole in heart\nex-smoker
0,Health,Does anyone really have a cure for snoring? I've tried EVERYTHING from over the counter drugs to nasal strips.,"I've tried EVERYTHING from over the counter drugs to nasal strips. I've tried inhalers, pills, sprays - nothing works! My wife is now sleeping on the couch - I even got her earplugs but she said I'm way too loud and it gets right through the earplugs. Please help me!!!"
1,Sports,AL East Champions in 2002?,?
0,Health,What's the deal with those god-awful smelling small yellow things I cough out of my throat into my mouth?,Sometimes also when I sneeze these tiny yellow soft rock-like things end up in my mouth. They smell like feces!! What's going on with me?!?
1,Sports,What is your best team in the NBA?,My best team in the NBA is Detroit Pistons. Tell me. The team does not have to be good.
0,Health,what is colorado tick fever ?,i think my son has it should i be concern?
0,Health,"how much omega 3 at 1000mg, do i need per day?","i bought omega 3 fish oil 1000mg, it says take 1-2 per day, is that enough to get full benefits?  Thanx,babzco."
2,Entertainment & Music,What was the conflict in Star Wars episode V The Empire Strikes back?,I seen this episode 5 million times and I need help figuring out the conflict in Star Wars!
1,Sports,"Which sport is better baseball or basketball, and tell me which player is best at that sport.?",I am a baseball and basketball fan and I'm just wondering.
1,Sports,what was the first college football team and what year?,the first organized college football team or teams and what year were they formed
1,Sports,WHere will Preston Wilson play with the Astros?,I assume Willie Taveras will stay in CF.
1,Sports,"I am a big Yankee fan. Can someone give me their email, so we can talk about the Yankees?",NO RED SOX FANS PLEASE!
0,Health,Why does it hurt to have intercourse?,"Whenever my husband and I make love, it hurts me in a certain spot.  If we can avoid that spot, I'm okay.  But whenever that spot is touched it feels like I'm losing my virginity all over again.  While having my yearly, the doctor touched it and that hurt like crazy.  I've been to see numerous doctors, but they haven't found anything yet.  I still have many more appointments but any thoughts are welcome.  Maybe someone can stear the doctors and I in the right direction."
1,Sports,should the U.S.A basketball olympic  team allow college players to play?,i think yes because college player's have more to play for imagine J.J redick come averages 35.5 points agame heck yeah he going with the number 1 pick
2,Entertainment & Music,nursing community colleges in springfield mass.?,good nursing colleges to study subjects which are needed. so i can be accepted in a nursing school to study
2,Entertainment & Music,Name the shows that came directly or indirectly from All in the Family?,Think hard - there are more than you know
0,Health,Can you get a sore penis from having too much sex?,"some symptoms would be itchiness, redness, somewhat like a rash"
1,Sports,How do the 1st down marker lines work on TV? It's a tecnology I don't understand!?,I don't get how those virtual lines of scrimmage and 1st down markers work. They blow my mind.
3,Science & Mathematics,Or maybe this is more beautiful?,"""After a searching review of the record and applicable case law, we find that while ID arguments may be true, a proposition on which the court takes no position, ID is not science. We find that ID fails on three different levels, any one of which is sufficient to preclude a determination that ID is science. They are: (1) ID violates the centuries-old ground rules of science by invoking and permitting supernatural causation; (2) the argument of irreducible complexity, central to ID, employs the same flawed and illogical contrived dualism that doomed creation science in the 1980's; and (3) ID's negative attacks on evolution have been refuted by the scientific community.""\n\n-- Another quote from U.S. District Judge John E. Jones III's ruling that struck down a school board's decision to require biology students in Dover, Pa., to be taught about the concept of ""intelligent design"":"
1,Sports,What's the difference between the different lines of Shimano components?,"i.e. Deore, Tiagra, 105, etc.?"
3,Science & Mathematics,classification of a grasshopper?,kindom\nphylum\nclss\norder\nfamily\ngenus\nspecies
3,Science & Mathematics,what is an example of the conservation of enery or moemtnum?,"I need an example (with a picture, if that's possible) of a system where energy of momentum are conserved."
1,Sports,Need ideas for snacks to serve during superbowl?,"Got any ideas +/or recipes?  I need something besides the usual chips w/ onion dip, chips and salsa, cheese and crackers."
2,Entertainment & Music,What is the song on Big Mommas house 2 when the cheerleaders r dancing. Some form of hey mickey you so fine...,I want the name of the song I think it is a remix or something but I have looked everywhere and if anyone has seen this movie and knows what I am talking about please notify me! THanks
2,Entertainment & Music,who sings this song?,"Link, had come to town\nCome to save the princess Zelda,\nGanon took her away, now the children don't play,\nBut they will when Link saves the day\nHALLELUJAH!\n\nNow Link, fill up your hearts,\nSo you can shoot your sword with power\nAnd when you're feeling all down, the faerie will come around\nSo you'll be brave, and not a sissy coward\n\nNow Link, has saved the day\nPut Ganon in his grave\nSo now-a Zelda is free, and now our shall be\nLink, I think your name shall go down into history"
2,Entertainment & Music,What is the song in the JC Penney Commercial?,It is the Holiday theme song.
0,Health,"What is the difference between STDs, AIDS & HIV? What/Where is a good source to find clear distinction & info?","I don't know anything about these things, and my ignorance scares me. I want to know everything. I want to know every type of STD, its symptoms, characteristics, & effects. I also want to know about HIV & AIDS. I often see them affiliated with each other; are they the same thing? I want to know the symptoms, characteristics & effects of HIV & AIDS as well. How can all these things be transmitted? What regions of the body are susceptible to these diseases?"
2,Entertainment & Music,what song are this lyrics from?,I get the rush straight to my heart\nI get the rush down to my feet...
1,Sports,"Any one else notice how poor the officiating is in the NFL, College, and even high school football?",The officiating in football looks crooked....
3,Science & Mathematics,Russian Scientist patents Invisibility Cloak. What are the possibilities?,http://www.mosnews.com/news/2006/01/...darkness.shtml
3,Science & Mathematics,How did Dinosaurs died?,So much of them around the world. How could all of them die in one sweep?
2,Entertainment & Music,Where can I buy Mark Dignam's music?,"I've heard several songs by Mark Dignam, an Irish singer, and I love his work. I have looked almost everywhere but I can't find his music.\nHis latest CD is for sale on Amazon, but I don't have a credit card. So, is there anyway to get his music other than ordering it on Amazon?"
0,Health,do human beings have more than six senses?,"In new Scientist, it claimed there were over 26 senses in the human body. I'm curious... ?"
3,Science & Mathematics,I need help finding info on air and water temp.?,My daughter is doing a science fair project and we can not find any web sites that will help us with the the heating of water and air temp.
2,Entertainment & Music,WHAT IS YOUR FAVORITE HORROR MOVIE?,"JUST WONDERING, MINE IS AMITYVILLE HORROR."
3,Science & Mathematics,what do you consider the best explaination for the Bermuda Triangle?,i know very little of it. can anyone enlighten me?
2,Entertainment & Music,What is wrong with doll on island of misfit toys?,"Rudolph the red nosed reindeer animation has an island of misfit toys. Therrs a Charlie in the box. a cowboy who rides an ostrich, a water gun that squirts jelly. etc but we cannot ascertain what is wrong with the doll!"
2,Entertainment & Music,How many episodes of The Simpsons are there?,Just wondering for fun!
2,Entertainment & Music,What is the best place to get guitar lessons in the South Bay Area?,Looking for a great instructor and relatively affordable price. I have no experience but have a desire to learn.
1,Sports,UK premier soccer results predictions for 31/12/2005?,I want predictions for the UK and also the Scottish League
0,Health,Poll for men on shaved vaginas?,"Ok, how do you prefer it? I know most guys like it all gone, and some like it all there. What's the most liked way??"
3,Science & Mathematics,How much energy does a 50 watt light bulb used compared to a 100-watt light bulbif both are?,shinning for the same length of time? And why is that?
2,Entertainment & Music,i get tired of listining same things.can u suggest me someone to listen?,"by the way i dont listen metal.hiphop,easy listing,jazz,rb,blues and alternative suit my taste."
0,Health,"In your opinion, whats a good weight for someone who is 5'6.?",WHat would make them look good - not what is healthy
2,Entertainment & Music,Shane West fans?,"Does anyone elso out there a Shane West fan? If so, what is ur fv. movie that He did?"
0,Health,What is the best condom to use?,most comfortable to the man and woman
0,Health,STREP THROAT?,DETAILS ON STREP THROAT
2,Entertainment & Music,Who is Ji-hyo song?,"The only thing i know about her is that she acted in the korean movie ""whishing stairs"" aka ""Whising Corridor 3"". I need to know all her details, and if possible i also need her pictures."
0,Health,I have terrible sweats and would like to know what to do about them?,"I can just be sitting still and get one, but if I do anything, like doing the dishes it is for certain."
3,Science & Mathematics,"Why do new prescription glasses sometimes make square objects, like computer monitors, look like trapezoids?","I just got my first eyeglasses prescription and now when I am wearing them and I look at a square object head-on, like my computer monitor, it appears to be trapezoid shaped, with the top looking narrower than the bottom. Why is that? And the effect is even more pronounced with objects inside the screen, like this web browser window inside which I am typing right now. Very strange. I have been very careful to ensure that the monitor is directly in front of me, at a right angle to my line of vision, for ergonomic reasons. This effect exists when my eyeline is at, above, or below the middle of the screen, although it is more pronounced, of course, when I am below it."
1,Sports,"Did Ron Artest get suspended by the Pacers?  And if so, how long was the suspension supposed to last?",Ron Artest's suspension? from the Pacers earlier in the season
3,Science & Mathematics,what does ITER means??,related with some nuclear thing...........
2,Entertainment & Music,Who would win in a fight? 7?,Tag Team Match!  \n\nThe Incredible Hulk and Spiderman\n    vs\nBatman and Superman
0,Health,"Can anybody help me find addresses of importers of Cordyceps sinensis in America, Japan, Taiwan, etc..?","Cordyceps Sinensis, a plant of the ergot family, is a traditional and precious dried Chineses medicinal herb belonging to the fungus category. It was highly recommended by ancient medical practitioners as the most effective cure for all illness. Owing to the herb's high efficacy and potency in curing various diseases, it is well-known as an important nourishing tonic. However, as the sourcing and gathering of the herb is rare and difficult, so its supply often falls short of demand.\n\nIt regulates and ensures the normal functioning of various parts of the body, strengthens the immune system and promotes overall vitality and longevity."
3,Science & Mathematics,"a rancher spent$100 and bought 100 animals 3 kinds of animals bull=$10, cow=$5, and calf=$.50?",how many of each did he buy?
2,Entertainment & Music,Rearrange Letters?,"How would you rearrange the letters in ""new door"" to make one word?\n\n***There is only one correct answer***"
0,Health,"i get ithing swells (like mosquito bites)during the night on my legs,back and arms.what could cause that?","i get ithing swells (like mosquito bites)during the night on my legs,back and arms.what could cause that?"
2,Entertainment & Music,ever heard it? My father my all?,i've walked down\nthis road again\nand i've run away from\nmy father my friend\nbut now i know\nthat i need you now\nso here i am\ni wont leave you now\n\ncause you know i'll fall\nbut you're there when i call\nyou never forget me\nmy father my all\nyou look past my wrongs \nand show me where i belong\ni'll never forget you\nmy father my all...
3,Science & Mathematics,Could we all become separate species..?,"Looking at the various cultural and genetic drift that is visible on our planet today, and the wide variety of human types, is it plausible to suggest that we could all one day adapt and evolve into separate, unique species who are no longer able to interbreed and have unique characteristics?"
0,Health,how to increase my chest im 32 and also married plz help me?,im mrs usman pls tell me how to increase my chest
1,Sports,Where can i learn to play tennis without making a fool of my self in Portland?,my boyfriend does tennis and i want to try to do a sport he does... someplace cheep would be great! thaxs
3,Science & Mathematics,Explain the formation of a rainbow.?,"Explain the formation of a rainbow, i.e., what are the conditions necessary for\nyou to view a rainbow? What are the mechanics of rainbow formation?"
3,Science & Mathematics,periodic table for elements (latest)?,mandlef's periodic table and latest table for elements in the universe
2,Entertainment & Music,"What celebrities, living or dead, would you most like to play Twister with?",http://community.livejournal.com/rq_version3/40989835.html
1,Sports,why isnt big ben in the pro bowl?,with all he has done in the last two years dont you think someone should have noticed|||?
1,Sports,how is skiing in new york?,i have been to only three different mountains in a few weeks. on december 23rd i went to bromley mountain (vt) with my friend. than i went to west on like the 2nd or 3rd.  than this monday i went to west again.  tuesday was gore.  wednesday was west again.  i am wondering how willard is. does anyone know? how about pico?  killington?  any mountain in new york?
3,Science & Mathematics,How can I safely open a geode?,"I have gotten some unopened geodes for my dad for Christmas. I want to include some instructions on how to safely crack them open while creating as few pieces as possible. They will vary in size from 3 - 5"" across."
3,Science & Mathematics,How is ice formed?,How is ice formed and I don't mean by putting water in an ice tray and putting it in the freezer.
2,Entertainment & Music,Which artists are similar to Audioslave in genre and general type of music?,I'm really into Audioslave right now and I was wondering if you guys could turn me on to other artists with a similar style.
2,Entertainment & Music,Who's the comedian who has an act about walgreens and dream houses?,I think his name is Dean or Dan something
2,Entertainment & Music,How many people love musicals?,I am in love with theatre and music. so musicals is always number 1 on my list.
0,Health,How do you train for a marathon?,Any tips or advice.
1,Sports,need sizes on indy car tires in inches looking for tire 26in tall 15in wide 15in rim?,need sizes on indy car tires.  i am looking for tires 26 inches tall 15 inches wide and 15 inch rims.
3,Science & Mathematics,1=.9(repeating)?,It has been said to me that you can prove\n1=.9(repeating)\nhow?
2,Entertainment & Music,How much of Julia's Robert's paycheck does she have to pay her agent?,What percentage? And do most actors get paid by a graduating commission?
1,Sports,Jeez are the Carolina Hurricanes for real?,They've got great chemistry and some serious offense.  But can their defense and young goaltending hold it together for a Cup run?\n\nYour thoughts
1,Sports,Why are fans of the Cleveland Browns so bitter?,"The Pittsburgh Steelers are better, why is that so hard to accept?"
0,Health,how to increase heights even i'am at 19 now?,i'am 19 now.and i'm not tall enough as i want ..how can i increase my heights by using exercise method..i wish to know some website that posted that kind of exercise.. i know there many pills or tablets that guaranteed increase of heights. but they're way too expensive..
2,Entertainment & Music,Any Sci-Fi fans out there?,"Tonight is the night for Sci-fi new episodes.\nStargate, Stargate Atlantis, and Battlestar Galatica.\n\nOf these three which is your favorite?"
3,Science & Mathematics,if freeze drying is removing moisture with a vaccuum then how are frozen asteroids frozen in a space vaccuum?,It seems that a frozen asteroid would have its water evaporated by the vaccuum.
3,Science & Mathematics,What is the size and location of planets in relation to our sun?,"I need a picture of the solar system, true to size and distance from each other and the sun."
2,Entertainment & Music,Do you think they should make an 'The Incredibles 2 - Rise of The Underminer' Movie?,"after being very successful with 'The Incredibles' I think Disar (Disney+Pixar) should make 'The Incredibles 2 - Rise of The Underminer' I Loved the Incredibles 1, What do u Think They should do?"
0,Health,what is the best drugstore-priced facial skin moisturizer for an aging woman with dry skin?,"Please suggest a product that is not greasy, but actually does what it says it will do.  I'd like to effectively reduce fine lines and wrinkles, especially around my mouth.  I quit smoking cigarettes many, many, many years ago."
3,Science & Mathematics,I need to give a presentation to a bunch of physicists on some topic.  Any interesting topic suggestions?,The topic should relate to physics and involve a current area of research.  Personally I'm leaning toward quantum chaos or string theory.  Do you have any suggestions?
3,Science & Mathematics,Harmful ultraviolet rays from the sun are primarily absorbed by?,which is the correct answer from the options\na)dust \nb)ozone\nc)land masses\nd)water vapour
0,Health,some times i'm bord so what can i do on that times ..... ???,"i'm bord now help me plz,,,,,,,,,,"
2,Entertainment & Music,is sean hayes (jack from will and grace) gay or straight?,i've always wanted to know.
0,Health,What make-up shall I use with pink?,I'm going to an 18th birthday party soon and I'm going to wear a baby pink corset dress and I'm not too sure on how I should do my make-up. Any ideas?
2,Entertainment & Music,what are all the game stations you have?,"i have a PS2,Xbox,Xbox360,game cube,PS3,000,BLOW UP BOMB8,000,game cube -2,gameboy6,000,nintendo shark fin,1-inch plazma screen T.V. and my favorite blow up tellitubies on my balls 22B.C."
2,Entertainment & Music,Where can I download movies for free?,Movies/Entertainment
3,Science & Mathematics,can someone explain the cell cycle to me in english please....?,my bio teacher makes no sense at alll....
1,Sports,The upset that was suppose to happen.?,"The miss guide calls! still they are suppose to win, oops! upset an a shut down of the colts, Now the next upset to happen. I believe they call them the squash. A game to watch,The bus continues to run on empty with his first fumble. How can the broncos win, If they pick to lose in my chart? lol."
2,Entertainment & Music,What was the character's real name?,Her nickname in the movie was Baby.  She danced with Johnny.  What is the name of the movie?  And what was her characters real name?  (Not the actresses real name)
3,Science & Mathematics,Can you fire a revolver pistol after it fell in the water and is wet?,Can you fire it under water?
2,Entertainment & Music,A question about anime?,"around 1995 on sci fi channel's saturday anime I saw an anime that had a space ship with a bunch of women on it.  they were fighting some large aliens i think.  they all got in a giant fight and had crash landed on some planet, one of the girls somehow gives birth to a full grown man (first man ever known to them) and it basically leads to earth.  some space ship crashes on this giant planet and that turns into the sun and you realize they're on the third planet... anyway, i barely remember it... no one knows what i'm talking about."
2,Entertainment & Music,Natalie Portman or Jennifer Garner?,They are both beautiful and talented!\nI perfer Jennifer Garner for her comedy and her butt kicking!
1,Sports,What do you think of Eric Mangini become th next head coach for the NY Jets?,"I want to hear what the Jets' Nation think, especially if your are the Jets' fan."
3,Science & Mathematics,Will another hurricane category be added?,"Until this year, the idea of a storm that topped the Cat5 scale seemed to be impossible. As we enter another active phase for hurricanes, do you think NOAA might have to consider adding another category? After all, if we keep getting Cat5 level storms (even if they don't sustain at that strength), doesn't it seem logical that we might, due to changes in our environment, weather patterns, whatever, need to consider a new category?"
3,Science & Mathematics,One gallon of liquid occupies 231 cubic inches. What is a rule that expresses the # of gallons g(c) as a?,function of the # of cubic inches c.\nA. g(c) c/231\nB. g(c) 132/c\nC. g(c) 231c\nD. g(c) 132c
1,Sports,What do you think of my fantasy team?,"C. Duhon (Chi - PG) \nD. Wade (Mia - PG,SG)  \nJ. Terry (Dal - PG) \nA. Nocioni (Chi - SF) \nE. Griffin (Min - SF,PF,C) \nV. Radmanovic (Sea - PF)    \nS. Dalembert (Phi - C) \nB. Wallace (Det - PF,C)   \nC. Paul (NOK - PG,SG)   \nKu. Thomas (Pho - PF,C) \nJ. Richardson (GS - SG)\nY. Ming (Hou - C)    \nD. Fisher (GS - PG) \n\nThis is for a standard Yahoo! League.\n\nThanks for any opinions!"
0,Health,Will my certification expire since I am visually disabled and that was before I got certified?,I am a certified Nursing Assistant and my 2 yr certification expires in Nov.
1,Sports,What happened in the Alamo Bowl???,"I was watching the end of Michigan vs Nebraska. Man, that was crazy!! Why weren't the Cornhuskers flagged? Shouldn't they have been for being on the field while the play was still going?\n\nThe Huskers were lucky those guys in the secondary were paying attention."
2,Entertainment & Music,hilary duff and neopets?,does hilary duff really have a neopets account?
0,Health,Medical question arms tingle (hot)  and both hands experience numbess?,currently on medication for other medical issues. problem started s months ago after a hospital stay. Also developed rash aon both feet.
3,Science & Mathematics,what are deserts n how are they created?,"the habitants living in there,"
1,Sports,Wich is the best sport sedan now and why?,no more than 35k dollars
0,Health,what are thoes things called that people wear on thier teeth that look like they have gold teeth? Nelly has um,"They are not dentures, or braces or caps. My daughter said they were called something and I can't remember. I think mostly black people wear them but I guess anyone could and probably does. They cover the outside of the teeth and they are removable. Thanks"
2,Entertainment & Music,whos betta beach boys or the beatles?,huh huh who's betta?
1,Sports,I need some help on the basics of Rugby.?,Can you please explain the basic rules of Rugby for me. That would be really helpful. And are there any cool tricks or tips you have to share? Where can you by a rugby? Sports Authority? Modells?
3,Science & Mathematics,"how many atoms each element has?Ca3(PO4)2 ,4Al2(CO3)3 ,Pb(NO3)2 and last 2(NH4)2Or2O7?",pls halp me is very important
1,Sports,Which is the best hand to hand combat weapon?,Maybe a switchblade?  or a length of bike chain?  or maybe a steel-toed boot?
3,Science & Mathematics,Why is it named the Milky Way?,"Just seems like a funny name, is it named after anyone?"
2,Entertainment & Music,Do you think there would be less movie pirating if tickets at the theater were less?,I don't believe the internet is completely to blame for movie pirating.  If tickets were cheaper surely more people would just go to the theater to see a movie.  It would be much better quality.  If they just wanted a copy of the movie they'd wait to rent it and copy it.  What do you think?  Would cheaper tickets help to prevent pirating?
0,Health,What really help to be beautiful?,Skin beauty
0,Health,how will my thiny varicous veins in my legs and disappear and how much it cost to remove it.?,what is the best whitening lotion ??in local made
1,Sports,What happened to basketball player Lawrence Moten?,He played for Syracuse from '92 - '95.  I believe he went overseas to play some after college.
1,Sports,how is a basketball hoop made?,what is it made of
3,Science & Mathematics,"i want to know about ""business intelligence""?",about concept and some innformation about it.
3,Science & Mathematics,how long does it take for a drop of rain to reach earth from the time it leaves the cloud?,how about a snow flake?
3,Science & Mathematics,What do you think about ghosts??,Are they real? Are they fake? Anything else to know about them?
3,Science & Mathematics,"How deep would a 2.4 GHz frequency penetratre through the flesh, skull and bones?","Cell phones, microwave ovens and Wi-Fi all use about the same frequency, 2.4GHz, I would be interested to know how deep does this signal penetrate through our body."
